,file_path,folder,file_name
651,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\glioma_tumor\gg (686).jpg,glioma_tumor,gg (686).jpg
2674,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\pituitary_tumor\p (668).jpg,pituitary_tumor,p (668).jpg
1397,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\meningioma_tumor\m2 (95).jpg,meningioma_tumor,m2 (95).jpg
2766,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\pituitary_tumor\p (750).jpg,pituitary_tumor,p (750).jpg
1684,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\no_tumor\image (38).jpg,no_tumor,image (38).jpg
789,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\glioma_tumor\gg (81).jpg,glioma_tumor,gg (81).jpg
2661,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\pituitary_tumor\p (656).jpg,pituitary_tumor,p (656).jpg
1317,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\meningioma_tumor\m2 (22).jpg,meningioma_tumor,m2 (22).jpg
1149,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\meningioma_tumor\m1(30).jpg,meningioma_tumor,m1(30).jpg
1463,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\meningioma_tumor\m3 (155).jpg,meningioma_tumor,m3 (155).jpg
594,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\glioma_tumor\gg (634).jpg,glioma_tumor,gg (634).jpg
2210,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\pituitary_tumor\p (25).jpg,pituitary_tumor,p (25).jpg
296,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\glioma_tumor\gg (366).jpg,glioma_tumor,gg (366).jpg
1222,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\meningioma_tumor\m1(97).jpg,meningioma_tumor,m1(97).jpg
239,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\glioma_tumor\gg (314).jpg,glioma_tumor,gg (314).jpg
1710,D:\cd_data_C\Desktop\git_upload\MRI\Dataset\Training\no_tumor\image (61).jpg,no_tumor,image (61).jpg
